ticker,name,latest_close,ma20,high_20,high_50,latest_volume,avg_volume_20,volume_ratio,rsi_14,atr_14,atr_pct,within_2pct_of_20d_high,within_5pct_of_50d_high,above_ma20,elevated_volume,rsi_bullish,atr_reasonable,confirmed_breakout,breakout_ready,pre_breakout,breakout_type,setup_score,setup_status,checked_at,market_regime,adjusted_setup_score,adjusted_setup_status,extension_pct,high_atr_risk,overextended,low_liquidity,risk_flag_count,risk_decision,risk_notes,checked_at_risk
COST,Costco,1008.43,999.05,1018.48,1018.48,1467989,1988099,0.74,58.1,19.34,1.92,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-15T09:12:47.902502+00:00,risk_off,4,watch,0.94,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
CVX,Chevron,196.82,187.3,196.97,196.97,10593636,11862891,0.89,70.53,4.18,2.12,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-15T09:12:48.321642+00:00,risk_off,4,watch,5.08,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
VZ,Verizon,51.38,49.99,51.38,51.38,21769068,25977188,0.84,65.12,0.95,1.84,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-15T09:12:50.950842+00:00,risk_off,4,watch,2.78,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
XOM,Exxon Mobil,156.12,150.57,156.12,156.12,17491781,20947169,0.84,60.82,4.07,2.61,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-15T09:12:51.363757+00:00,risk_off,4,watch,3.69,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
MU,Micron Technology,426.13,408.84,429.0,437.8,39072307,31640525,1.23,51.3,25.53,5.99,True,True,True,True,False,False,False,True,True,breakout_ready,4,watch,2026-03-15T09:12:48.673229+00:00,risk_off,3,watch,4.23,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
NFLX,Netflix,95.31,88.83,99.17,99.17,29808277,53586018,0.56,83.25,3.44,3.61,False,True,True,False,True,True,False,False,True,pre_breakout,4,watch,2026-03-15T09:12:49.357703+00:00,risk_off,3,watch,7.29,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
PANW,Palo Alto Networks,167.01,156.76,168.12,193.9,6255403,12644790,0.49,85.43,5.8,3.47,True,False,True,False,True,True,False,True,False,breakout_ready,4,watch,2026-03-15T09:12:59.763803+00:00,risk_off,3,watch,6.54,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
SBUX,Starbucks,99.15,97.66,101.44,101.44,9398316,8058210,1.17,68.6,2.56,2.58,False,True,True,False,True,True,False,False,True,pre_breakout,4,watch,2026-03-15T09:12:50.541017+00:00,risk_off,3,watch,1.53,False,False,False,0,approved,clear,2026-03-15T09:13:08.024528+00:00
NET,Cloudflare,212.45,188.66,213.0,213.0,2297292,4231999,0.54,91.34,9.44,4.45,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-15T09:12:49.013639+00:00,risk_off,4,watch,12.61,False,True,False,1,caution,overextended,2026-03-15T09:13:08.024528+00:00
CRWD,CrowdStrike,441.78,406.12,442.03,478.91,2223614,5268055,0.42,91.26,18.66,4.22,True,False,True,False,True,True,False,True,False,breakout_ready,4,watch,2026-03-15T09:12:54.069762+00:00,risk_off,3,watch,8.78,False,True,False,1,caution,overextended,2026-03-15T09:13:08.024528+00:00
